id,name,level
389,building_government_administrationlevel,10
390,building_arts_academylevel,2
391,building_construction_sectorlevel,2
392,building_universitylevel,2
393,building_furniture_manufacturieslevel,5
394,building_paper_millslevel,5
395,building_wheat_farmlevel,10
396,building_livestock_ranchlevel,3
397,building_barrackslevel,20
398,building_government_administrationlevel,10
399,building_arms_industrylevel,5
400,building_construction_sectorlevel,2
401,building_universitylevel,2
402,building_food_industrylevel,4
403,building_glassworkslevel,3
404,building_iron_minelevel,5
405,building_logging_camplevel,3
406,building_rye_farmlevel,7
407,building_barrackslevel,30
408,building_coal_minelevel,2
409,building_textile_millslevel,3
410,building_food_industrylevel,3
411,building_logging_camplevel,3
412,building_wheat_farmlevel,4
413,building_barrackslevel,10
414,building_coal_minelevel,2
415,building_iron_minelevel,3
416,building_lead_minelevel,2
417,building_wheat_farmlevel,1
418,building_livestock_ranchlevel,2
419,building_barrackslevel,10
420,building_iron_minelevel,2
421,building_gold_minelevel,2
422,building_livestock_ranchlevel,1
423,building_wheat_farmlevel,1
424,building_barrackslevel,2
600,building_government_administrationlevel,3
601,building_construction_sectorlevel,3
602,building_textile_millslevel,5
603,building_arms_industrylevel,10
604,building_wheat_farmlevel,3
605,building_barrackslevel,15
708,building_government_administrationlevel,3
709,building_paper_millslevel,5
710,building_glassworkslevel,5
711,building_textile_millslevel,8
712,building_barrackslevel,10
713,building_fishing_wharflevel,4
714,building_silk_plantationlevel,5
715,building_wheat_farmlevel,2
716,building_portlevel,3
873,building_wheat_farmlevel,3
874,building_livestock_ranchlevel,1
875,building_logging_camplevel,2
876,building_barrackslevel,5
877,building_fishing_wharflevel,3
878,building_wheat_farmlevel,1
879,building_barrackslevel,5
880,building_portlevel,1
881,building_government_administrationlevel,3
882,building_wheat_farmlevel,2
883,building_livestock_ranchlevel,1
884,building_logging_camplevel,3
885,building_fishing_wharflevel,2
886,building_portlevel,1
887,building_barrackslevel,10
888,building_government_administrationlevel,2
889,building_wheat_farmlevel,1
890,building_livestock_ranchlevel,1
891,building_barrackslevel,5
892,building_tooling_workshopslevel,3
893,building_shipyardslevel,2
894,building_fishing_wharflevel,4
895,building_naval_baselevel,10
896,building_portlevel,2
900,building_naval_baselevel,5
901,building_portlevel,2
1078,building_government_administrationlevel,5
1079,building_rye_farmlevel,2
1080,building_livestock_ranchlevel,1
1081,building_barrackslevel,5
1085,building_government_administrationlevel,3
1086,building_wheat_farmlevel,3
1087,building_livestock_ranchlevel,2
1088,building_barrackslevel,5
1089,building_government_administrationlevel,5
1090,building_construction_sectorlevel,1
1091,building_iron_minelevel,2
1092,building_food_industrylevel,2
1093,building_wheat_farmlevel,6
1094,building_livestock_ranchlevel,3
1095,building_barrackslevel,15
1096,building_wheat_farmlevel,3
1097,building_livestock_ranchlevel,2
1098,building_barrackslevel,10
1099,building_food_industrylevel,2
1100,building_wheat_farmlevel,3
1101,building_livestock_ranchlevel,3
1102,building_barrackslevel,15
1103,building_wheat_farmlevel,3
1104,building_livestock_ranchlevel,3
1105,building_barrackslevel,5
1106,building_wheat_farmlevel,3
1107,building_livestock_ranchlevel,4
1108,building_barrackslevel,5
1109,building_government_administrationlevel,3
1110,building_furniture_manufacturieslevel,2
1111,building_iron_minelevel,4
1112,building_wheat_farmlevel,2
1113,building_barrackslevel,5
1114,building_wheat_farmlevel,1
1115,building_logging_camplevel,3
1116,building_barrackslevel,5
1117,building_barrackslevel,5
1118,building_wheat_farmlevel,2
1119,building_logging_camplevel,5
1120,building_iron_minelevel,4
1121,building_government_administrationlevel,2
1122,building_furniture_manufacturieslevel,1
1123,building_logging_camplevel,3
1124,building_wheat_farmlevel,1
1125,building_livestock_ranchlevel,1
1126,building_barrackslevel,5
1127,building_wheat_farmlevel,1
1128,building_livestock_ranchlevel,2
1129,building_logging_camplevel,2
2902,building_subsistence_farmslevel,53
2903,building_urban_centerlevel,6
3022,building_subsistence_farmslevel,48
3024,building_subsistence_farmslevel,48
3025,building_subsistence_farmslevel,24
3638,building_subsistence_farmslevel,2
3839,building_subsistence_farmslevel,105
3840,building_urban_centerlevel,1
3842,building_subsistence_farmslevel,125
3843,building_subsistence_farmslevel,98
3844,building_urban_centerlevel,1
3845,building_subsistence_farmslevel,69
3846,building_subsistence_farmslevel,19
3847,building_subsistence_farmslevel,32
3848,building_urban_centerlevel,1
3849,building_subsistence_farmslevel,18
3850,building_subsistence_farmslevel,74
3851,building_subsistence_farmslevel,114
3852,building_urban_centerlevel,1
3853,building_subsistence_farmslevel,25
3854,building_urban_centerlevel,1
3855,building_subsistence_farmslevel,97
3856,building_urban_centerlevel,4
3857,building_subsistence_farmslevel,173
3858,building_urban_centerlevel,6
3859,building_subsistence_farmslevel,76
3860,building_urban_centerlevel,1
3861,building_subsistence_farmslevel,91
3862,building_urban_centerlevel,2
3863,building_subsistence_farmslevel,37
3864,building_subsistence_farmslevel,29
3865,building_subsistence_farmslevel,67
3866,building_urban_centerlevel,5
3867,building_subsistence_farmslevel,14
3868,building_subsistence_farmslevel,21
3869,building_subsistence_farmslevel,44
3940,building_subsistence_farmslevel,63
3967,building_trade_centerlevel,26
4056,building_conscription_centerlevel,7
4114,building_conscription_centerlevel,4
4116,building_conscription_centerlevel,4
4117,building_conscription_centerlevel,1
4588,building_conscription_centerlevel,8
4589,building_conscription_centerlevel,10
4590,building_conscription_centerlevel,8
4591,building_conscription_centerlevel,5
4592,building_conscription_centerlevel,1
4593,building_conscription_centerlevel,3
4594,building_conscription_centerlevel,1
4595,building_conscription_centerlevel,6
4596,building_conscription_centerlevel,9
4597,building_conscription_centerlevel,2
4598,building_conscription_centerlevel,9
4599,building_conscription_centerlevel,16
4600,building_conscription_centerlevel,6
4601,building_conscription_centerlevel,8
4602,building_conscription_centerlevel,2
4603,building_conscription_centerlevel,2
4604,building_conscription_centerlevel,8
4605,building_conscription_centerlevel,1
4606,building_conscription_centerlevel,3
4639,building_conscription_centerlevel,4
