Goods,Building,max_demand,current_input,level
14,389,99.99999999999999,37.53866579498368,10
14,390,5.0,1.8769332897491844,2
9,391,47.339,50.550605332500176,2
10,391,142.017,78.96731297964548,2
14,392,10.0,3.7538665794983688,2
9,393,50.0,53.39213474355201,5
10,393,100.0,55.60412695638233,5
26,393,50.0,38.525730027794886,5
33,393,25.0,10.868335354004225,5
10,394,150.0,83.40619043457349,5
1,397,20.0,15.075834015873928,20
2,397,20.0,15.075834015873928,20
14,398,99.99999999999999,37.53866579498368,10
24,399,100.0,58.29602755349722,5
26,399,50.0,38.525730027794886,5
9,400,47.339,50.550605332500176,2
10,400,142.017,78.96731297964548,2
14,401,10.0,3.7538665794983688,2
7,402,160.0,137.89488397409463,4
42,402,100.0,38.36212085849876,4
10,403,60.0,33.36247617382939,3
25,403,30.0,17.048369182768223,3
23,404,50.0,24.7485059603516,5
33,404,50.0,21.73667070800845,5
33,405,15.0,6.521001212402536,3
1,407,30.0,22.61375102381089,30
2,407,30.0,22.61375102381089,30
33,408,10.0,4.34733414160169,2
9,409,120.0,128.14112338452483,3
7,410,120.0,103.42116298057097,3
42,410,75.0,28.771590643874074,3
33,411,15.0,6.521001212402536,3
1,413,10.0,7.537917007936964,10
2,413,10.0,7.537917007936964,10
33,414,10.0,4.34733414160169,2
33,415,15.0,6.521001212402536,3
33,416,10.0,4.34733414160169,2
1,419,10.0,7.537917007936964,10
2,419,10.0,7.537917007936964,10
33,420,10.0,4.34733414160169,2
33,421,10.0,4.34733414160169,2
1,424,2.0,1.507583401587393,2
2,424,2.0,1.507583401587393,2
14,600,30.0,11.261599738495104,3
9,601,71.0085,75.82590799875025,3
10,601,213.0255,118.45096946946823,3
9,602,200.0,213.56853897420805,5
24,603,199.99999999999997,116.59205510699442,10
26,603,99.99999999999999,77.05146005558977,10
1,605,15.0,11.306875511905446,15
2,605,15.0,11.306875511905446,15
14,708,30.0,11.261599738495104,3
10,709,150.0,83.40619043457349,5
10,710,150.0,83.40619043457349,5
21,710,75.0,0.0,5
9,711,240.0,256.28224676904966,8
20,711,79.99999999999999,97.19626168224298,8
1,712,10.0,7.537917007936964,10
2,712,10.0,7.537917007936964,10
18,716,15.0,11.805183746027527,3
1,876,5.0,3.768958503968482,5
2,876,5.0,3.768958503968482,5
1,879,5.0,3.768958503968482,5
2,879,5.0,3.768958503968482,5
18,880,5.0,3.9350612486758427,1
14,881,30.0,11.261599738495104,3
18,886,5.0,3.9350612486758427,1
1,887,10.0,7.537917007936964,10
2,887,10.0,7.537917007936964,10
14,888,20.0,7.5077331589967375,2
1,891,5.0,3.768958503968482,5
2,891,5.0,3.768958503968482,5
10,892,90.0,50.043714260744096,3
24,892,60.0,34.97761653209833,3
9,893,40.0,42.7137077948416,2
10,893,80.0,44.48330156510587,2
5,895,20.0,19.019409259662915,10
18,896,10.0,7.8701224973516855,2
5,900,4.544,4.321209783795414,5
18,901,4.543,3.5753966505468706,2
14,1078,50.0,18.769332897491843,5
1,1081,5.0,3.768958503968482,5
2,1081,5.0,3.768958503968482,5
14,1085,30.0,11.261599738495104,3
1,1088,5.0,3.768958503968482,5
2,1088,5.0,3.768958503968482,5
14,1089,50.0,18.769332897491843,5
9,1090,23.6695,25.275302666250088,1
10,1090,71.0085,39.48365648982274,1
33,1091,10.0,4.34733414160169,2
7,1092,80.0,68.94744198704731,2
42,1092,50.0,19.18106042924938,2
1,1095,15.0,11.306875511905446,15
2,1095,15.0,11.306875511905446,15
1,1098,10.0,7.537917007936964,10
2,1098,10.0,7.537917007936964,10
7,1099,80.0,68.94744198704731,2
42,1099,50.0,19.18106042924938,2
1,1102,15.0,11.306875511905446,15
2,1102,15.0,11.306875511905446,15
1,1105,5.0,3.768958503968482,5
2,1105,5.0,3.768958503968482,5
1,1108,5.0,3.768958503968482,5
2,1108,5.0,3.768958503968482,5
14,1109,30.0,11.261599738495104,3
9,1110,20.0,21.3568538974208,2
10,1110,40.0,22.241650782552934,2
26,1110,20.0,15.410292011117956,2
33,1110,10.0,4.34733414160169,2
33,1111,20.0,8.69466828320338,4
1,1113,5.0,3.768958503968482,5
2,1113,5.0,3.768958503968482,5
1,1116,5.0,3.768958503968482,5
2,1116,5.0,3.768958503968482,5
1,1117,5.0,3.768958503968482,5
2,1117,5.0,3.768958503968482,5
33,1120,20.0,8.69466828320338,4
14,1121,20.0,7.5077331589967375,2
9,1122,10.0,10.6784269487104,1
10,1122,30.0,16.681238086914696,1
1,1126,5.0,3.768958503968482,5
2,1126,5.0,3.768958503968482,5
10,2903,30.0,16.681238086914696,6
31,2903,30.0,10.572754892936977,6
10,3840,5.0,2.780206347819117,1
31,3840,5.0,1.7621258154894959,1
10,3844,5.0,2.780206347819117,1
31,3844,5.0,1.7621258154894959,1
10,3848,5.0,2.780206347819117,1
31,3848,5.0,1.7621258154894959,1
10,3852,5.0,2.780206347819117,1
31,3852,5.0,1.7621258154894959,1
10,3854,5.0,2.780206347819117,1
31,3854,5.0,1.7621258154894959,1
10,3856,20.0,11.120825391276467,4
31,3856,20.0,7.0485032619579835,4
10,3858,30.0,16.681238086914696,6
31,3858,30.0,10.572754892936977,6
10,3860,5.0,2.780206347819117,1
31,3860,5.0,1.7621258154894959,1
10,3862,10.0,5.560412695638234,2
31,3862,10.0,3.5242516309789917,2
10,3866,25.0,13.901031739095583,5
31,3866,25.0,8.81062907744748,5
