Goods,Building,max_supply,current_output,level
51,390,2.0,0.7507733158996738,2
13,393,225.0,155.3225222407438,5
49,393,100.0,69.03223210699724,5
14,394,200.0,111.20825391276466,5
7,395,99.99999999999999,109.0,10
37,395,89.99999999999999,98.1,10
42,395,60.0,65.4,10
9,396,90.0,91.8,3
36,396,15.0,15.3,3
1,399,75.0,50.75530785340762,5
2,399,75.0,50.75530785340762,5
11,402,59.99999999999999,37.363927002692364,4
38,402,239.99999999999997,149.45570801076946,4
31,403,120.0,67.45921453936585,3
24,404,200.0,92.97035333672011,5
10,405,120.0,52.168009699220285,3
26,405,30.0,13.042002424805071,3
7,406,70.0,74.2,7
38,406,104.99999999999999,111.3,7
23,408,50.0,21.73667070800845,2
12,409,135.0,135.0,3
11,410,45.0,28.022945252019277,3
38,410,180.0,112.0917810080771,3
10,411,120.0,52.168009699220285,3
26,411,30.0,13.042002424805071,3
7,412,40.0,41.2,4
37,412,36.0,37.08,4
42,412,24.0,24.72,4
23,414,50.0,21.73667070800845,2
24,415,60.0,26.084004849610142,3
25,416,40.0,17.38933656640676,2
7,417,15.0,15.0,1
39,417,8.0,8.0,1
9,418,60.0,60.6,2
36,418,10.0,10.1,2
24,420,40.0,17.38933656640676,2
50,421,20.0,8.69466828320338,2
9,422,30.0,30.0,1
36,422,5.0,5.0,1
7,423,15.0,15.0,1
39,423,8.0,8.0,1
12,602,225.0,225.0,5
1,603,150.0,101.51061570681524,10
2,603,150.0,101.51061570681524,10
7,604,45.0,45.9,3
39,604,24.0,24.48,3
14,709,200.0,111.20825391276466,5
31,710,50.0,13.901031739095583,5
35,710,125.0,34.75257934773895,5
12,711,200.0,200.0,8
48,711,159.99999999999997,159.99999999999997,8
8,713,100.0,103.0,4
20,714,100.0,104.0,5
7,715,30.0,30.3,2
39,715,16.0,16.16,2
7,873,30.0,30.6,3
37,873,27.0,27.54,3
42,873,18.0,18.36,3
9,874,30.0,30.0,1
36,874,5.0,5.0,1
10,875,20.0,20.2,2
26,875,20.0,20.2,2
8,877,75.0,76.5,3
7,878,15.000000000000002,17.25,1
39,878,8.0,9.2,1
7,882,30.0,34.8,2
39,882,16.0,18.56,2
9,883,30.000000000000004,34.5,1
36,883,5.0,5.75,1
10,884,90.0,91.8,3
8,885,50.0,50.5,2
7,889,10.0,10.0,1
37,889,9.0,9.0,1
42,889,6.0,6.0,1
