id,name,level
2166,building_wheat_farmlevel,1
2384,building_livestock_ranchlevel,3
2385,building_livestock_ranchlevel,3
2386,building_government_administrationlevel,10
2387,building_logging_camplevel,10
2388,building_opium_plantationlevel,6
2389,building_paper_millslevel,12
2390,building_barrackslevel,20
2391,building_government_administrationlevel,8
2392,building_logging_camplevel,4
2393,building_tea_plantationlevel,10
2394,building_opium_plantationlevel,10
2395,building_barrackslevel,10
2396,building_government_administrationlevel,10
2397,building_furniture_manufacturieslevel,7
2398,building_glassworkslevel,8
2399,building_logging_camplevel,5
2400,building_opium_plantationlevel,5
2401,building_dye_plantationlevel,8
2402,building_tea_plantationlevel,4
2403,building_barrackslevel,10
2404,building_government_administrationlevel,8
2405,building_iron_minelevel,1
2406,building_rice_farmlevel,8
2407,building_dye_plantationlevel,6
2408,building_silk_plantationlevel,10
2409,building_barrackslevel,20
2410,building_livestock_ranchlevel,1
2411,building_barrackslevel,5
2412,building_livestock_ranchlevel,2
2413,building_barrackslevel,5
2414,building_government_administrationlevel,9
2415,building_banana_plantationlevel,8
2416,building_rice_farmlevel,7
2417,building_tea_plantationlevel,8
2418,building_dye_plantationlevel,10
2419,building_silk_plantationlevel,16
2420,building_barrackslevel,20
2421,building_government_administrationlevel,20
2422,building_construction_sectorlevel,3
2423,building_tooling_workshopslevel,4
2424,building_furniture_manufacturieslevel,5
2425,building_wheat_farmlevel,3
2426,building_tea_plantationlevel,5
2427,building_barrackslevel,20
2428,building_forbidden_citylevel,1
2429,building_logging_camplevel,4
2430,building_livestock_ranchlevel,10
2431,building_barrackslevel,5
2432,building_government_administrationlevel,6
2433,building_iron_minelevel,3
2434,building_logging_camplevel,8
2435,building_livestock_ranchlevel,3
2436,building_barrackslevel,20
2437,building_logging_camplevel,6
2438,building_livestock_ranchlevel,2
2439,building_barrackslevel,10
2440,building_government_administrationlevel,7
2441,building_wheat_farmlevel,7
2442,building_tea_plantationlevel,3
2443,building_barrackslevel,10
2444,building_government_administrationlevel,4
2445,building_tea_plantationlevel,3
2446,building_barrackslevel,5
2447,building_livestock_ranchlevel,6
2448,building_barrackslevel,5
2449,building_government_administrationlevel,4
2450,building_tea_plantationlevel,5
2451,building_barrackslevel,15
2452,building_livestock_ranchlevel,5
2453,building_barrackslevel,10
2454,building_government_administrationlevel,12
2455,building_paper_millslevel,4
2456,building_tea_plantationlevel,10
2457,building_silk_plantationlevel,10
2458,building_barrackslevel,20
2459,building_government_administrationlevel,13
2460,building_banana_plantationlevel,7
2461,building_fishing_wharflevel,5
2462,building_silk_plantationlevel,20
2463,building_rice_farmlevel,8
2464,building_dye_plantationlevel,12
2465,building_shipyardslevel,2
2466,building_barrackslevel,20
