name,code,base_price,current_price,pop_demand
ammunition,0,50,50,0
small_arms,1,60,60,0
artillery,2,70,70,0
tanks,3,80,80,0
aeroplanes,4,80,80,0
manowars,5,70,75.33176784992065,0
ironclads,6,80,80,0
grain,7,20,15.606327981751178,34005.500343081614
fish,8,20,21.538481629250143,780.0011641194315
fabric,9,20,15.937678387123611,4548.694235441974
wood,10,20,23.046724485668946,2689.794524558019
groceries,11,30,30,0
clothes,12,30,28.017245034415534,8062.020220600209
furniture,13,30,25.760040312800793,7607.064989856635
paper,14,30,38.675513761802655,334.5162365575099
services,15,30,11.97081678742877,2307.679311666665
transportation,16,30,30,0
electricity,17,30,30,0
clippers,18,60,52.56500761703912,0
steamers,19,70,70,0
silk,20,40,12.18131408884268,0
dye,21,40,29.29446477386135,0
sulfur,22,50,50,0
coal,23,30,30,0
iron,24,40,30.6,0
lead,25,40,40,0
hardwood,26,40,38.33846153846154,0
rubber,27,40,40,0
oil,28,40,40,0
engines,29,60,60,0
steel,30,50,50,0
glass,31,40,52.16192091959555,161.8982628129463
fertilizer,32,30,30,0
tools,33,40,14.229541598362925,0
explosives,34,50,50,0
porcelain,35,70,93.3785531316654,2024.6346431265415
meat,36,30,42.73120715730779,1177.2005953225573
fruit,37,30,39.22122152300156,2259.348444735977
liquor,38,30,22.334912422792847,8335.066402881186
wine,39,50,50,0
tea,40,50,36.837109932060855,2756.7395950000036
coffee,41,50,50,0
sugar,42,30,24.59725726320241,692.2802566122953
tobacco,43,40,70.0,176.6863427358829
opium,44,50,80.73344866791328,2472.869735082587
automobiles,45,100,100,0
telephones,46,70,70,0
radios,47,80,80,0
luxury_clothes,48,60,84.60408827122642,706.0238439689443
luxury_furniture,49,60,86.20383120558907,1785.6096515500938
gold,50,100,100,0
fine_art,51,200,200,0
