Goods,Building,max_supply,current_output,level
7,2166,29.88,29.88,1
9,2384,89.64,91.4328,3
36,2384,14.94,15.2388,3
9,2385,89.64000000000001,73.5048,3
36,2385,14.940000000000001,12.2508,3
10,2387,99.99999999999999,109.0,10
26,2387,99.99999999999999,109.0,10
44,2388,119.52,125.496,6
14,2389,479.99999999999994,382.5048164585936,12
10,2392,40.0,41.2,4
26,2392,40.0,41.2,4
40,2393,199.19999999999996,217.128,10
44,2394,199.19999999999996,217.128,10
13,2397,175.0,163.15162700017632,7
49,2397,140.0,130.52130160014104,7
31,2398,79.99999999999999,71.87540137154946,8
35,2398,200.0,179.68850342887367,8
10,2399,50.0,52.0,5
26,2399,50.0,52.0,5
44,2400,99.6,103.584,5
21,2401,199.2,213.144,8
40,2402,79.68,82.0704,4
24,2405,20.0,20.0,1
7,2406,159.35999999999999,170.5152,8
37,2406,47.80799999999999,51.15456,8
42,2406,71.712,76.73184,8
21,2407,149.4,156.87,6
20,2408,199.2,266.928,10
9,2410,29.88,23.904,1
36,2410,4.9799999999999995,3.984,1
9,2412,59.76,48.4056,2
36,2412,9.96,8.0676,2
37,2415,239.03999999999996,255.7728,8
7,2416,139.44,147.8064,7
37,2416,41.832,44.34192,7
42,2416,62.74799999999999,66.51288,7
40,2417,159.35999999999999,170.5152,8
21,2418,249.0,271.41,10
20,2419,318.72,446.208,16
33,2423,239.99999999999997,215.6262041146484,4
13,2424,125.0,116.53687642869737,5
49,2424,100.0,93.2295011429579,5
7,2425,29.88,30.4776,3
37,2425,26.892,27.42984,3
42,2425,17.928,18.28656,3
40,2426,99.6,103.584,5
10,2429,40.0,41.2,4
26,2429,40.0,41.2,4
9,2430,298.8,325.692,10
36,2430,49.79999999999999,54.282,10
24,2433,60.0,60.0,3
10,2434,79.99999999999999,85.6,8
26,2434,79.99999999999999,85.6,8
9,2435,89.64,91.4328,3
36,2435,14.94,15.2388,3
10,2437,60.0,63.0,6
26,2437,60.0,63.0,6
9,2438,59.76,60.3576,2
36,2438,9.959999999999999,10.0596,2
7,2441,69.72,84.3612,7
37,2441,62.748,75.92508,7
42,2441,41.832,50.61672,7
40,2442,59.76,60.9552,3
40,2445,59.76,60.9552,3
