id,name,level
209,building_government_administrationlevel,14
210,building_construction_sectorlevel,5
211,building_universitylevel,5
212,building_arts_academylevel,5
213,building_paper_millslevel,5
214,building_furniture_manufacturieslevel,8
215,building_wheat_farmlevel,8
216,building_livestock_ranchlevel,4
217,building_railwaylevel,1
218,building_barrackslevel,10
221,building_textile_millslevel,3
222,building_fishing_wharflevel,2
223,building_silk_plantationlevel,8
224,building_wheat_farmlevel,10
225,building_barrackslevel,5
226,building_naval_baselevel,10
227,building_portlevel,3
228,building_government_administrationlevel,4
229,building_shipyardslevel,6
230,building_textile_millslevel,8
231,building_fishing_wharflevel,3
232,building_barrackslevel,10
233,building_wheat_farmlevel,6
234,building_livestock_ranchlevel,2
235,building_naval_baselevel,15
236,building_portlevel,3
237,building_government_administrationlevel,3
238,building_universitylevel,2
239,building_fishing_wharflevel,2
240,building_glassworkslevel,5
241,building_wheat_farmlevel,9
242,building_livestock_ranchlevel,2
243,building_barrackslevel,15
244,building_construction_sectorlevel,2
245,building_government_administrationlevel,6
246,building_textile_millslevel,7
247,building_paper_millslevel,6
248,building_arms_industrylevel,5
249,building_logging_camplevel,4
250,building_coal_minelevel,4
251,building_silk_plantationlevel,10
252,building_wheat_farmlevel,15
253,building_barrackslevel,15
254,building_railwaylevel,1
255,building_arms_industrylevel,4
256,building_logging_camplevel,2
257,building_munition_plantslevel,5
258,building_wheat_farmlevel,8
259,building_livestock_ranchlevel,2
260,building_barrackslevel,20
261,building_naval_baselevel,25
262,building_portlevel,2
263,building_coal_minelevel,6
264,building_government_administrationlevel,5
265,building_textile_millslevel,5
266,building_wheat_farmlevel,7
267,building_livestock_ranchlevel,2
268,building_steel_millslevel,1
269,building_arms_industrylevel,3
270,building_iron_minelevel,6
271,building_logging_camplevel,5
272,building_wheat_farmlevel,7
273,building_barrackslevel,15
274,building_paper_millslevel,4
275,building_wheat_farmlevel,3
276,building_fishing_wharflevel,2
277,building_portlevel,1
278,building_wheat_farmlevel,4
279,building_livestock_ranchlevel,1
280,building_logging_camplevel,1
281,building_textile_millslevel,3
282,building_wheat_farmlevel,8
283,building_livestock_ranchlevel,2
284,building_barrackslevel,15
285,building_government_administrationlevel,3
286,building_textile_millslevel,3
287,building_furniture_manufacturieslevel,2
288,building_logging_camplevel,3
289,building_wheat_farmlevel,7
290,building_barrackslevel,25
291,building_government_administrationlevel,5
292,building_shipyardslevel,4
293,building_logging_camplevel,4
294,building_arms_industrylevel,2
295,building_fishing_wharflevel,3
296,building_naval_baselevel,20
297,building_wheat_farmlevel,4
298,building_livestock_ranchlevel,5
299,building_portlevel,3
300,building_government_administrationlevel,5
301,building_tooling_workshopslevel,4
302,building_furniture_manufacturieslevel,10
303,building_logging_camplevel,2
304,building_iron_minelevel,2
305,building_wheat_farmlevel,12
306,building_barrackslevel,10
307,building_food_industrylevel,6
308,building_barrackslevel,10
309,building_logging_camplevel,3
310,building_wheat_farmlevel,10
311,building_government_administrationlevel,5
312,building_furniture_manufacturieslevel,8
313,building_iron_minelevel,1
314,building_wheat_farmlevel,2
315,building_barrackslevel,10
316,building_tooling_workshopslevel,4
317,building_wheat_farmlevel,2
318,building_lead_minelevel,4
319,building_sulfur_minelevel,1
320,building_logging_camplevel,5
321,building_barrackslevel,15
322,building_government_administrationlevel,3
323,building_food_industrylevel,3
324,building_logging_camplevel,3
325,building_fishing_wharflevel,2
326,building_wheat_farmlevel,10
327,building_naval_baselevel,10
328,building_portlevel,3
329,building_government_administrationlevel,5
330,building_glassworkslevel,4
331,building_wheat_farmlevel,8
332,building_livestock_ranchlevel,4
333,building_barrackslevel,5
634,building_livestock_ranchlevel,1
635,building_fishing_wharflevel,1
636,building_barrackslevel,5
637,building_portlevel,1
1207,building_portlevel,2
1208,building_government_administrationlevel,1
1209,building_wheat_farmlevel,1
1210,building_livestock_ranchlevel,1
1211,building_barrackslevel,2
1221,building_portlevel,1
1222,building_wheat_farmlevel,1
1227,building_portlevel,1
1228,building_fishing_wharflevel,1
1229,building_wheat_farmlevel,1
1259,building_portlevel,1
1260,building_sugar_plantationlevel,2
1261,building_portlevel,1
1732,building_sugar_plantationlevel,3
1733,building_coffee_plantationlevel,2
1734,building_tobacco_plantationlevel,2
1735,building_portlevel,1
1762,building_portlevel,1
2328,building_sugar_plantationlevel,2
2329,building_portlevel,1
2353,building_dye_plantationlevel,2
2354,building_portlevel,1
2878,building_subsistence_farmslevel,35
2879,building_urban_centerlevel,2
2880,building_subsistence_farmslevel,82
2881,building_urban_centerlevel,6
3131,building_subsistence_farmslevel,5
3214,building_subsistence_orchardslevel,18
3219,building_subsistence_farmslevel,13
3221,building_subsistence_orchardslevel,9
3246,building_subsistence_farmslevel,6
3278,building_subsistence_farmslevel,79
3279,building_urban_centerlevel,2
3280,building_subsistence_farmslevel,65
3281,building_urban_centerlevel,7
3282,building_subsistence_farmslevel,90
3283,building_urban_centerlevel,4
3284,building_subsistence_farmslevel,51
3285,building_urban_centerlevel,2
3286,building_subsistence_farmslevel,53
3287,building_urban_centerlevel,2
3288,building_subsistence_farmslevel,57
3289,building_urban_centerlevel,1
3290,building_subsistence_farmslevel,70
3291,building_urban_centerlevel,1
3292,building_subsistence_farmslevel,63
