Goods,Building,max_demand,current_input,level
14,209,280.0,24.098270981660555,14
9,210,99.007,47.280488753321166,5
10,210,198.014,40.3499922477365,5
24,210,247.5175,11.176092299307575,5
33,210,49.5035,4.006170115696509,5
14,211,25.0,2.1516313376482636,5
14,212,12.5,1.0758156688241318,5
10,213,150.0,30.566014711891455,5
22,213,50.0,1.0832489181441816,5
9,214,79.99999999999999,38.203754282683974,8
10,214,159.99999999999997,32.603749026017546,8
26,214,79.99999999999999,4.661861818089025,8
33,214,39.99999999999999,3.2370802999355672,8
7,216,40.00000000000001,30.823188362799193,4
33,216,40.00000000000001,3.237080299935568,4
23,217,10.0,0.8827647351573195,1
29,217,10.0,0.0,1
0,218,10.0,0.4766832347704563,10
1,218,10.0,0.5870124811891896,10
2,218,10.0,0.5838565001075273,10
9,221,90.0,42.97922356801948,3
20,221,30.0,38.458498023715414,3
21,221,15.0,3.546348314606741,3
18,222,10.0,3.779653611151445,2
0,225,5.0,0.23834161738522816,5
1,225,5.0,0.2935062405945948,5
2,225,5.0,0.29192825005376366,5
5,226,20.0,6.387378374495245,10
18,227,15.0,5.6694804167271675,3
14,228,80.0,6.885220280474444,4
9,229,120.0,57.30563142402597,6
10,229,240.0,48.90562353902633,6
9,230,240.0,114.61126284805194,8
20,230,79.99999999999999,102.55599472990774,8
21,230,39.99999999999999,9.456928838951308,8
18,231,15.0,5.6694804167271675,3
0,232,10.0,0.4766832347704563,10
1,232,10.0,0.5870124811891896,10
2,232,10.0,0.5838565001075273,10
33,234,20.0,1.6185401499677838,2
5,235,30.0,9.581067561742866,15
18,236,15.0,5.6694804167271675,3
14,237,60.0,5.163915210355833,3
14,238,10.0,0.8606525350593055,2
18,239,10.0,3.779653611151445,2
10,240,100.0,20.377343141260972,5
25,240,50.0,3.432119290347285,5
7,242,20.0,15.411594181399593,2
33,242,20.0,1.6185401499677838,2
0,243,15.0,0.7150248521556846,15
1,243,15.0,0.8805187217837845,15
2,243,15.0,0.875784750161291,15
9,244,39.6028,18.912195501328465,2
10,244,79.2056,16.1399968990946,2
24,244,99.007,4.4704369197230305,2
33,244,19.8014,1.6024680462786036,2
14,245,120.0,10.327830420711665,6
9,246,209.99999999999997,100.28485499204544,7
20,246,70.0,89.7364953886693,7
21,246,35.0,8.274812734082396,7
10,247,180.0,36.67921765426975,6
22,247,60.0,1.299898701773018,6
24,248,100.0,4.515273586436343,5
26,248,50.0,2.9136636363056416,5
33,249,20.0,1.6185401499677838,4
33,250,40.00000000000001,3.237080299935568,4
0,253,15.0,0.7150248521556846,15
1,253,15.0,0.8805187217837845,15
2,253,15.0,0.875784750161291,15
23,254,10.0,0.8827647351573195,1
29,254,10.0,0.0,1
24,255,80.0,3.6122188691490744,4
26,255,40.0,2.3309309090445134,4
33,256,10.0,0.8092700749838919,2
25,257,100.0,6.86423858069457,5
34,257,100.0,0.0,5
7,259,19.999999999999996,15.411594181399591,2
33,259,19.999999999999996,1.6185401499677836,2
0,260,20.0,0.9533664695409126,20
1,260,20.0,1.1740249623783792,20
2,260,20.0,1.1677130002150546,20
5,261,50.0,15.968445936238112,25
18,262,10.0,3.779653611151445,2
33,263,60.00000000000001,4.855620449903352,6
14,264,100.0,8.606525350593055,5
9,265,150.0,71.63203928003246,5
20,265,50.0,64.09749670619236,5
21,265,25.0,5.910580524344569,5
7,267,19.999999999999996,15.411594181399591,2
33,267,19.999999999999996,1.6185401499677836,2
