id,name,level
85,building_government_administrationlevel,10
86,building_arts_academylevel,3
87,building_construction_sectorlevel,3
88,building_universitylevel,5
89,building_paper_millslevel,10
90,building_textile_millslevel,25
91,building_shipyardslevel,5
92,building_furniture_manufacturieslevel,15
93,building_naval_baselevel,25
94,building_barrackslevel,15
95,building_rye_farmlevel,15
96,building_livestock_ranchlevel,5
97,building_fishing_wharflevel,2
98,building_railwaylevel,3
99,building_portlevel,8
100,building_government_administrationlevel,5
101,building_textile_millslevel,25
102,building_construction_sectorlevel,3
103,building_arms_industrylevel,5
104,building_munition_plantslevel,2
105,building_coal_minelevel,15
106,building_iron_minelevel,10
107,building_rye_farmlevel,10
108,building_livestock_ranchlevel,3
109,building_barrackslevel,10
110,building_naval_baselevel,10
111,building_railwaylevel,4
112,building_fishing_wharflevel,3
113,building_portlevel,7
114,building_paper_millslevel,5
115,building_barrackslevel,10
116,building_livestock_ranchlevel,2
117,building_coal_minelevel,4
118,building_logging_camplevel,3
119,building_railwaylevel,1
120,building_portlevel,1
121,building_government_administrationlevel,5
122,building_tooling_workshopslevel,12
123,building_construction_sectorlevel,2
124,building_textile_millslevel,10
125,building_steel_millslevel,10
126,building_motor_industrylevel,8
127,building_barrackslevel,10
128,building_naval_baselevel,15
129,building_coal_minelevel,10
130,building_iron_minelevel,5
131,building_rye_farmlevel,8
132,building_livestock_ranchlevel,3
133,building_railwaylevel,5
134,building_portlevel,4
135,building_barrackslevel,5
136,building_logging_camplevel,3
137,building_whaling_stationlevel,2
138,building_fishing_wharflevel,4
139,building_government_administrationlevel,5
140,building_arms_industrylevel,8
141,building_textile_millslevel,25
142,building_furniture_manufacturieslevel,5
143,building_chemical_plantslevel,2
144,building_coal_minelevel,8
145,building_iron_minelevel,8
146,building_rye_farmlevel,10
147,building_livestock_ranchlevel,5
148,building_railwaylevel,5
149,building_barrackslevel,20
150,building_portlevel,4
151,building_government_administrationlevel,3
152,building_universitylevel,5
153,building_furniture_manufacturieslevel,15
154,building_glassworkslevel,5
155,building_food_industrylevel,4
156,building_iron_minelevel,2
157,building_shipyardslevel,1
158,building_barrackslevel,5
159,building_naval_baselevel,25
160,building_rye_farmlevel,7
161,building_livestock_ranchlevel,3
162,building_fishing_wharflevel,3
163,building_railwaylevel,1
164,building_portlevel,5
165,building_government_administrationlevel,5
166,building_tooling_workshopslevel,4
167,building_textile_millslevel,5
168,building_shipyardslevel,4
169,building_barrackslevel,5
170,building_naval_baselevel,25
171,building_wheat_farmlevel,5
172,building_livestock_ranchlevel,3
173,building_sulfur_minelevel,3
174,building_railwaylevel,1
175,building_fishing_wharflevel,2
176,building_portlevel,5
177,building_government_administrationlevel,3
178,building_construction_sectorlevel,1
179,building_food_industrylevel,4
180,building_glassworkslevel,6
181,building_logging_camplevel,2
182,building_iron_minelevel,2
183,building_rye_farmlevel,5
184,building_livestock_ranchlevel,1
185,building_fishing_wharflevel,2
186,building_naval_baselevel,15
187,building_barrackslevel,10
188,building_railwaylevel,1
189,building_portlevel,3
190,building_livestock_ranchlevel,2
191,building_rye_farmlevel,3
192,building_barrackslevel,5
193,building_logging_camplevel,2
194,building_portlevel,2
195,building_rye_farmlevel,3
196,building_barrackslevel,3
197,building_naval_baselevel,5
198,building_portlevel,2
199,building_universitylevel,1
200,building_lead_minelevel,3
201,building_food_industrylevel,4
202,building_rye_farmlevel,5
203,building_naval_baselevel,15
204,building_barrackslevel,5
205,building_portlevel,3
206,building_rye_farmlevel,2
207,building_barrackslevel,2
208,building_portlevel,1
628,building_fishing_wharflevel,1
629,building_naval_baselevel,5
630,building_portlevel,1
790,building_naval_baselevel,5
791,building_portlevel,1
1266,building_portlevel,1
1302,building_portlevel,1
1626,building_fishing_wharflevel,2
1632,building_naval_baselevel,5
1633,building_portlevel,1
1699,building_portlevel,1
1729,building_banana_plantationlevel,1
1730,building_sugar_plantationlevel,1
1731,building_portlevel,1
1738,building_sugar_plantationlevel,3
1739,building_coffee_plantationlevel,2
1740,building_tobacco_plantationlevel,2
1741,building_portlevel,1
1742,building_banana_plantationlevel,1
