name,code,base_price,current_price,pop_demand
ammunition,0,50,85.94040502241475,0
small_arms,1,60,102.55678302933393,0
artillery,2,70,119.64958020088959,0
tanks,3,80,80,0
aeroplanes,4,80,80,0
manowars,5,70,119.81461104480745,0
ironclads,6,80,80,0
grain,7,20,31.95442664728013,7827.772270980946
fish,8,20,31.69717447245825,547.552670355116
fabric,9,20,33.53765519824126,728.955922749186
wood,10,20,33.63762830278708,605.2364946993979
groceries,11,30,43.797610435013496,363.87274429951134
clothes,12,30,47.619034468793416,2001.319361039455
furniture,13,30,46.44077645069479,1550.1971870992577
paper,14,30,50.926641982077044,87.94327195396903
services,15,30,40.79021957016381,1313.5736925391868
transportation,16,30,32.09877323326901,96.99577382463802
electricity,17,30,30,0
clippers,18,60,101.44566354229181,0
steamers,19,70,70,0
silk,20,40,70.0,0
dye,21,40,70.0,0
sulfur,22,50,86.36599423347407,0
coal,23,30,51.42508679146409,155.47798036378862
iron,24,40,68.32128442413081,0
lead,25,40,68.70632855669422,0
hardwood,26,40,69.9246110841379,0
rubber,27,40,40,0
oil,28,40,57.468479937499154,7.563512252867521
engines,29,60,102.53877545513889,0
steel,30,50,85.41244574415401,0
glass,31,40,68.34102319770238,78.3894672198897
fertilizer,32,30,51.12865521834228,0
tools,33,40,68.08260857326188,0
explosives,34,50,85.8419398512644,0
porcelain,35,70,122.5,164.2211612063414
meat,36,30,48.83433099284901,567.7490976417806
fruit,37,30,31.14001447091141,76.63295570920941
liquor,38,30,43.07587439438507,1665.3155937702998
wine,39,50,81.7345078382974,16.242547169414433
tea,40,50,85.94252067766067,481.5473240912776
coffee,41,50,51.83488818534583,151.82904873930806
sugar,42,30,41.98949158634865,156.8054156305289
tobacco,43,40,59.89603550599094,149.94114447831723
opium,44,50,87.5,582.8964656551655
automobiles,45,100,100,0
telephones,46,70,70,0
radios,47,80,80,0
luxury_clothes,48,60,101.71673424434815,801.7080672311797
luxury_furniture,49,60,100.36129332560493,432.4655863614223
gold,50,100,100,0
fine_art,51,200,332.88024534294846,1.8239575909272423
