id,name,level
425,building_fishing_wharflevel,3
426,building_rye_farmlevel,1
427,building_livestock_ranchlevel,3
428,building_logging_camplevel,2
429,building_naval_baselevel,5
430,building_portlevel,1
453,building_government_administrationlevel,2
454,building_chemical_plantslevel,2
455,building_steel_millslevel,2
456,building_iron_minelevel,4
457,building_sulfur_minelevel,5
458,building_rye_farmlevel,2
459,building_barrackslevel,15
462,building_furniture_manufacturieslevel,3
463,building_logging_camplevel,5
464,building_rye_farmlevel,2
465,building_livestock_ranchlevel,2
466,building_barrackslevel,25
469,building_government_administrationlevel,5
470,building_construction_sectorlevel,2
471,building_tooling_workshopslevel,8
472,building_wheat_farmlevel,4
473,building_barrackslevel,10
477,building_arms_industrylevel,2
478,building_munition_plantslevel,1
479,building_textile_millslevel,3
480,building_coal_minelevel,1
481,building_wheat_farmlevel,5
482,building_logging_camplevel,2
483,building_barrackslevel,10
484,building_arms_industrylevel,6
485,building_munition_plantslevel,2
486,building_coal_minelevel,2
487,building_wheat_farmlevel,3
488,building_barrackslevel,15
489,building_government_administrationlevel,13
490,building_construction_sectorlevel,3
491,building_universitylevel,4
492,building_arms_industrylevel,5
493,building_furniture_manufacturieslevel,5
494,building_glassworkslevel,3
495,building_paper_millslevel,4
496,building_barrackslevel,25
1054,building_textile_millslevel,8
1055,building_arms_industrylevel,5
1056,building_coal_minelevel,5
1057,building_lead_minelevel,5
1058,building_iron_minelevel,3
1059,building_livestock_ranchlevel,2
1060,building_barrackslevel,15
1066,building_fishing_wharflevel,1
1067,building_rye_farmlevel,3
1068,building_portlevel,1
1069,building_barrackslevel,10
1070,building_textile_millslevel,2
1071,building_logging_camplevel,5
1072,building_rye_farmlevel,2
1073,building_barrackslevel,10
1074,building_food_industrylevel,5
1075,building_rye_farmlevel,2
1076,building_livestock_ranchlevel,3
1077,building_barrackslevel,15
2904,building_subsistence_farmslevel,46
3870,building_subsistence_farmslevel,85
3871,building_urban_centerlevel,1
3872,building_subsistence_farmslevel,50
3873,building_urban_centerlevel,2
3876,building_subsistence_farmslevel,53
3877,building_urban_centerlevel,1
3879,building_subsistence_farmslevel,37
3880,building_subsistence_farmslevel,38
3881,building_subsistence_farmslevel,32
3882,building_urban_centerlevel,3
3884,building_subsistence_farmslevel,72
3885,building_urban_centerlevel,1
3886,building_subsistence_farmslevel,36
3887,building_urban_centerlevel,2
3888,building_subsistence_farmslevel,98
3889,building_urban_centerlevel,4
3890,building_subsistence_farmslevel,45
3891,building_urban_centerlevel,7
3915,building_subsistence_farmslevel,5
3968,building_trade_centerlevel,19
3969,building_urban_centerlevel,1
4031,building_trade_centerlevel,16
4032,building_urban_centerlevel,1
4057,building_conscription_centerlevel,4
4607,building_conscription_centerlevel,6
4608,building_conscription_centerlevel,5
4609,building_conscription_centerlevel,5
4610,building_conscription_centerlevel,3
4611,building_conscription_centerlevel,3
4612,building_conscription_centerlevel,3
4614,building_conscription_centerlevel,4
4615,building_conscription_centerlevel,3
4616,building_conscription_centerlevel,9
4617,building_conscription_centerlevel,6
