Goods,Building,max_demand,current_input,level
32,426,5.0,5.649281396943156,1
33,426,1.0,0.7000364452123292,1
7,427,30.0,20.808375253276793,3
33,427,30.0,21.00109335636988,3
33,428,10.0,7.000364452123292,2
5,429,10.0,0.0,5
18,430,5.0,0.0,1
14,453,20.0,10.231596640929139,2
22,454,60.0,80.75428824545254,2
23,454,30.0,20.102801548685957,2
24,454,20.0,8.069766625117023,2
23,455,60.0,40.20560309737191,2
24,455,80.0,32.27906650046809,2
23,456,40.0,26.803735398247944,4
33,456,40.0,28.001457808493168,4
23,457,50.0,33.50466924780993,5
33,457,50.0,35.00182226061646,5
32,458,10.0,11.298562793886312,2
33,458,2.0,1.4000728904246584,2
0,459,15.0,10.933086048878172,15
1,459,15.0,10.350994729829788,15
2,459,15.0,10.350994729829788,15
9,462,30.0,18.920417025590524,3
10,462,60.0,40.9774885565138,3
26,462,30.0,10.897537538073195,3
33,462,15.0,10.50054667818494,3
33,463,25.0,17.50091113030823,5
32,464,10.0,11.298562793886312,2
33,464,2.0,1.4000728904246584,2
7,465,20.0,13.872250168851195,2
33,465,20.0,14.000728904246584,2
0,466,25.0,18.22181008146362,25
1,466,25.0,17.251657883049646,25
2,466,25.0,17.251657883049646,25
14,469,100.0,51.157983204645696,5
10,471,240.0,163.9099542260552,8
30,471,159.99999999999997,65.21764565474113,8
32,472,20.0,22.597125587772624,4
33,472,4.0,2.800145780849317,4
0,473,10.0,7.288724032585448,10
1,473,10.0,6.900663153219859,10
2,473,10.0,6.900663153219859,10
24,477,40.0,16.139533250234045,2
26,477,20.0,7.26502502538213,2
25,478,20.0,30.11277122119806,1
34,478,20.0,9.154890871154562,1
9,479,120.0,75.6816681023621,3
33,480,10.0,7.000364452123292,1
32,481,25.0,28.24640698471578,5
33,481,5.0,3.500182226061646,5
33,482,10.0,7.000364452123292,2
0,483,10.0,7.288724032585448,10
1,483,10.0,6.900663153219859,10
2,483,10.0,6.900663153219859,10
24,484,120.0,48.418599750702136,6
26,484,60.0,21.79507507614639,6
25,485,40.0,60.22554244239612,2
34,485,40.0,18.309781742309124,2
33,486,19.999999999999996,14.000728904246582,2
32,487,15.0,16.947844190829468,3
33,487,3.0,2.1001093356369878,3
0,488,15.0,10.933086048878172,15
1,488,15.0,10.350994729829788,15
2,488,15.0,10.350994729829788,15
14,489,259.99999999999994,133.01075633207876,13
14,491,20.0,10.231596640929139,4
24,492,100.0,40.34883312558512,5
26,492,50.0,18.162562563455328,5
9,493,50.0,31.534028375984207,5
10,493,100.0,68.29581426085632,5
26,493,50.0,18.162562563455328,5
33,493,25.0,17.50091113030823,5
10,494,60.0,40.9774885565138,3
21,494,45.0,0.0,3
25,494,30.0,45.16915683179709,3
10,495,119.99999999999999,81.95497711302758,4
22,495,40.0,53.836192163635026,4
0,496,25.0,18.22181008146362,25
1,496,25.0,17.251657883049646,25
2,496,25.0,17.251657883049646,25
9,1054,319.99999999999994,201.81778160629887,8
24,1055,100.0,40.34883312558512,5
26,1055,50.0,18.162562563455328,5
33,1056,50.00000000000001,35.001822260616464,5
23,1057,50.0,33.50466924780993,5
33,1057,50.0,35.00182226061646,5
23,1058,30.0,20.102801548685957,3
33,1058,30.0,21.00109335636988,3
7,1059,20.0,13.872250168851195,2
33,1059,20.0,14.000728904246584,2
0,1060,15.0,10.933086048878172,15
1,1060,15.0,10.350994729829788,15
2,1060,15.0,10.350994729829788,15
32,1067,15.0,16.947844190829468,3
18,1068,5.0,0.0,1
0,1069,10.0,7.288724032585448,10
1,1069,10.0,6.900663153219859,10
2,1069,10.0,6.900663153219859,10
9,1070,80.0,50.45444540157473,2
33,1071,25.0,17.50091113030823,5
32,1072,10.0,11.298562793886312,2
0,1073,10.0,7.288724032585448,10
1,1073,10.0,6.900663153219859,10
2,1073,10.0,6.900663153219859,10
7,1074,200.0,138.72250168851195,5
42,1074,125.0,8.085354021480955,5
32,1075,10.0,11.298562793886312,2
7,1076,30.0,20.808375253276793,3
33,1076,30.0,21.00109335636988,3
0,1077,15.0,10.933086048878172,15
1,1077,15.0,10.350994729829788,15
2,1077,15.0,10.350994729829788,15
10,3871,5.0,3.4147907130428163,1
31,3871,5.0,0.9333057742947638,1
10,3873,10.0,6.829581426085633,2
31,3873,10.0,1.8666115485895276,2
10,3877,5.0,3.4147907130428163,1
31,3877,5.0,0.9333057742947638,1
10,3882,15.0,10.24437213912845,3
31,3882,15.0,2.7999173228842915,3
10,3885,5.0,3.4147907130428163,1
31,3885,5.0,0.9333057742947638,1
10,3887,10.0,6.829581426085633,2
31,3887,10.0,1.8666115485895276,2
10,3889,20.0,13.659162852171265,4
31,3889,20.0,3.733223097179055,4
10,3891,35.0,23.903534991299715,7
31,3891,35.0,6.533140420063346,7
10,3969,5.0,3.4147907130428163,1
31,3969,5.0,0.9333057742947638,1
10,4032,5.0,3.4147907130428163,1
31,4032,5.0,0.9333057742947638,1
