name,code,base_price,current_price,pop_demand
ammunition,0,50,60.1672898082926,0
small_arms,1,60,73.94704690773922,0
artillery,2,70,86.27155472569575,0
tanks,3,80,80,0
aeroplanes,4,80,80,0
manowars,5,70,122.5,0
ironclads,6,80,80,0
grain,7,20,24.5958132703295,2593.0198287234243
fish,8,20,15.260311218828036,69.4281059140697
fabric,9,20,25.539793844325214,231.9604581400628
wood,10,20,24.755633188671695,235.2013204863097
groceries,11,30,48.579906488905394,163.21337535255674
clothes,12,30,27.782073546323247,570.3361376101255
furniture,13,30,28.045007406072582,436.175014892174
paper,14,30,40.98945649330731,24.56193142700652
services,15,30,17.944590148121787,308.1300024743806
transportation,16,30,30,0
electricity,17,30,30,0
clippers,18,60,105.0,0
steamers,19,70,70,0
silk,20,40,40,0
dye,21,40,70.0,0
sulfur,22,50,40.36232308751678,0
coal,23,30,37.42291195528134,67.5994609157516
iron,24,40,57.89536119750143,0
lead,25,40,29.925119064550305,0
hardwood,26,40,59.10247194258049,0
rubber,27,40,40,0
oil,28,40,40,0
engines,29,60,60,0
steel,30,50,72.21462947858136,0
glass,31,40,64.40016667475308,62.12231084674532
fertilizer,32,30,27.41404731140576,0
tools,33,40,48.998922995413075,0
explosives,34,50,70.33458844195324,0
porcelain,35,70,110.14929679843112,178.84670420168075
meat,36,30,38.817827437561476,286.4777259800759
fruit,37,30,30.227255524923642,20.204066028035246
liquor,38,30,38.604103822782584,1006.7348983333329
wine,39,50,74.30375801344154,231.88916999999992
tea,40,50,50,0
coffee,41,50,50,0
sugar,42,30,51.04463627613343,24.600527902554795
tobacco,43,40,40,0
opium,44,50,50,0
automobiles,45,100,100,0
telephones,46,70,70,0
radios,47,80,80,0
luxury_clothes,48,60,105.0,26.081811029411757
luxury_furniture,49,60,84.49496525053074,208.65448823529405
gold,50,100,100,0
fine_art,51,200,350.0,0.6974256288429289
