Goods,Building,max_supply,current_output,level
8,425,75.0,76.5,3
7,426,30.0,25.500546678184936,1
38,426,15.0,12.750273339092468,1
9,427,120.0,83.61893721929334,3
32,427,15.0,10.452367152411668,3
36,427,75.0,52.26183576205834,3
10,428,80.0,56.002915616986336,2
26,428,20.0,14.000728904246584,2
32,454,150.0,103.67908581060247,2
34,454,40.0,27.64775621616066,2
30,455,130.0,69.78281155378322,2
24,456,160.0,109.61038641348223,4
22,457,200.0,137.01298301685276,5
7,458,60.0,51.00109335636987,2
38,458,30.0,25.500546678184936,2
13,462,135.0,80.2212662230768,3
49,462,60.0,35.65389609914524,3
10,463,200.0,140.00728904246583,5
26,463,50.0,35.00182226061646,5
7,464,60.0,51.00109335636987,2
38,464,30.0,25.500546678184936,2
9,465,80.0,55.74595814619556,2
32,465,10.0,6.968244768274445,2
36,465,50.0,34.841223841372226,2
33,471,639.9999999999999,348.9818969442225,8
7,472,139.99999999999997,119.00255116486301,4
39,472,32.0,27.200583123397266,4
1,477,30.0,11.501093737874365,2
2,477,30.0,11.501093737874365,2
0,478,50.0,36.4436135889432,1
12,479,135.0,85.14187661515736,3
23,480,40.0,28.001457808493168,1
7,481,175.0,148.7531889560788,5
39,481,40.0,34.000728904246586,5
10,482,80.0,56.002915616986336,2
26,482,20.0,14.000728904246584,2
1,484,90.0,34.5032812136231,6
2,484,90.0,34.5032812136231,6
0,485,100.0,72.8872271778864,2
23,486,79.99999999999999,56.00291561698633,2
7,487,104.99999999999999,89.25191337364727,3
39,487,24.0,20.40043734254795,3
1,492,75.0,28.752734344685912,5
2,492,75.0,28.752734344685912,5
13,493,225.0,133.70211037179467,5
49,493,100.0,59.423160165242074,5
31,494,60.0,33.659162852171264,3
35,494,75.0,42.07395356521408,3
14,495,279.99999999999994,235.61413996519883,4
12,1054,359.99999999999994,227.04500430708623,8
1,1055,75.0,28.752734344685912,5
2,1055,75.0,28.752734344685912,5
23,1056,200.00000000000003,140.00728904246586,5
25,1057,200.0,137.01298301685276,5
24,1058,120.0,82.20778981011168,3
9,1059,80.0,55.74595814619556,2
32,1059,10.0,6.968244768274445,2
36,1059,50.0,34.841223841372226,2
8,1066,25.0,25.0,1
7,1067,90.0,90.0,3
38,1067,45.0,45.0,3
12,1070,90.0,56.76125107677157,2
10,1071,200.0,140.00728904246583,5
26,1071,50.0,35.00182226061646,5
7,1072,60.0,60.0,2
38,1072,30.0,30.0,2
11,1074,75.0,28.436075273040277,5
38,1074,300.0,113.74430109216111,5
7,1075,60.0,60.0,2
37,1075,20.0,20.0,2
42,1075,10.0,10.0,2
9,1076,120.0,83.61893721929334,3
32,1076,15.0,10.452367152411668,3
36,1076,75.0,52.26183576205834,3
7,2904,114.931,114.931,46
9,2904,22.9862,22.9862,46
10,2904,22.9862,22.9862,46
12,2904,22.9862,22.9862,46
13,2904,22.9862,22.9862,46
15,2904,22.9862,22.9862,46
38,2904,32.18068,32.18068,46
7,3870,191.44125,191.44125,85
9,3870,38.28825,38.28825,85
10,3870,38.28825,38.28825,85
12,3870,38.28825,38.28825,85
13,3870,38.28825,38.28825,85
15,3870,38.28825,38.28825,85
38,3870,53.60355,53.60355,85
15,3871,40.0,17.39238594935032,1
7,3872,124.65375,124.65375,50
9,3872,24.93075,24.93075,50
10,3872,24.93075,24.93075,50
12,3872,24.93075,24.93075,50
13,3872,24.93075,24.93075,50
15,3872,24.93075,24.93075,50
38,3872,34.90305,34.90305,50
15,3873,80.0,34.78477189870064,2
7,3876,132.43242,132.43242,53
9,3876,26.48648,26.48648,53
