Goods,Building,max_demand,current_input,level
14,954,99.99999999999999,51.00096617935664,10
9,955,50.0,65.91393092701996,2
10,955,150.0,74.07758244610321,2
9,956,160.0,210.92457896646388,4
10,957,90.0,44.446549467661924,3
21,957,45.0,0.0,3
14,958,5.0,2.550048308967832,2
5,959,20.0,14.259482519297476,10
18,961,15.0,20.913907694969637,3
14,962,99.99999999999999,51.00096617935664,10
9,963,50.0,65.91393092701996,2
10,963,150.0,74.07758244610321,2
10,964,60.0,29.631032978441286,2
24,964,40.0,1.94309230273531,2
14,965,10.0,5.100096617935664,2
9,966,240.0,316.3868684496959,6
9,967,60.0,79.09671711242397,6
10,967,120.0,59.26206595688257,6
26,967,60.0,12.553546290087368,6
33,968,50.0,3.051538139068407,10
1,969,20.0,3.1098623174508537,20
2,969,20.0,3.1098623174508537,20
1,971,10.0,1.5549311587254269,10
2,971,10.0,1.5549311587254269,10
33,973,40.0,2.4412305112547252,8
33,974,30.0,1.8309228834410443,6
1,976,8.0,1.2439449269803415,8
2,976,8.0,1.2439449269803415,8
14,977,99.99999999999999,51.00096617935664,10
14,978,2.5,1.275024154483916,1
7,979,80.0,84.58090271227535,2
42,979,50.0,3.5890228271458318,2
1,982,20.0,3.1098623174508537,20
2,982,20.0,3.1098623174508537,20
9,983,80.0,105.46228948323194,2
7,984,160.0,169.1618054245507,4
42,984,100.0,7.1780456542916635,4
33,986,75.0,4.577307208602611,15
1,987,25.0,3.887327896813567,25
2,987,25.0,3.887327896813567,25
7,988,120.0,126.87135406841301,3
42,988,75.0,5.383534240718748,3
33,990,40.0,2.4412305112547252,8
1,991,12.0,1.865917390470512,12
2,991,12.0,1.865917390470512,12
10,992,90.0,44.446549467661924,3
33,993,59.99999999999999,3.6618457668820876,12
1,995,10.0,1.5549311587254269,10
2,995,10.0,1.5549311587254269,10
33,996,5.0,0.30515381390684065,1
5,998,10.0,7.129741259648738,5
9,1000,20.0,26.365572370807985,1
10,1000,40.0,19.754021985627524,1
18,1001,5.0,6.971302564989879,1
24,1002,120.0,5.829276908205929,6
26,1002,60.0,12.553546290087368,6
33,1003,75.0,4.577307208602611,15
1,1004,15.0,2.33239673808814,15
2,1004,15.0,2.33239673808814,15
5,1005,10.0,7.129741259648738,5
18,1007,10.0,13.942605129979759,2
1,1011,20.0,3.1098623174508537,20
2,1011,20.0,3.1098623174508537,20
33,1013,50.0,3.051538139068407,10
1,1014,20.0,3.1098623174508537,20
2,1014,20.0,3.1098623174508537,20
10,1015,90.0,44.446549467661924,3
33,1016,25.0,1.5257690695342034,5
1,1017,10.0,1.5549311587254269,10
2,1017,10.0,1.5549311587254269,10
9,1018,80.0,105.46228948323194,4
