Goods,Building,max_supply,current_output,level
12,956,180.0,180.0,4
31,957,30.0,7.407758244610321,3
35,957,75.0,18.519395611525802,3
51,958,2.0,1.0200193235871329,2
7,960,30.0,30.6,3
38,960,45.0,45.9,3
33,964,120.0,32.54567143254425,2
12,966,270.0,270.0,6
13,967,150.0,85.1538160571072,6
49,967,120.0,68.12305284568576,6
10,968,400.0,24.412305112547255,10
26,968,100.0,6.103076278136814,10
7,972,150.0,156.0,5
10,973,320.0,19.529844090037802,8
26,973,80.0,4.8824610225094505,8
10,974,240.0,14.647383067528354,6
26,974,60.0,3.6618457668820885,6
7,975,45.0,45.9,3
39,975,24.0,24.48,3
51,978,1.0,0.5100096617935664,1
11,979,30.0,16.076706848143747,2
38,979,120.0,64.30682739257499,2
9,980,150.0,178.5,5
36,980,25.0,29.75,5
7,981,1350.0,1822.5,45
12,983,90.0,90.0,2
11,984,59.99999999999999,32.153413696287494,4
38,984,239.99999999999997,128.61365478514998,4
7,985,40.0,41.2,4
38,985,59.99999999999999,61.8,4
10,986,600.0,36.61845766882089,15
26,986,150.0,9.154614417205222,15
11,988,45.0,24.115060272215622,3
38,988,180.0,96.46024108886249,3
7,989,30.0,30.6,3
38,989,45.0,45.9,3
10,990,320.0,19.529844090037802,8
26,990,80.0,4.8824610225094505,8
14,992,120.0,59.262065956882566,3
10,993,479.99999999999994,29.2947661350567,12
26,993,119.99999999999999,7.323691533764175,12
7,994,70.0,74.2,7
38,994,104.99999999999999,111.3,7
10,996,40.0,2.4412305112547252,1
26,996,10.0,0.6103076278136813,1
8,997,50.0,50.5,2
8,999,25.0,25.0,1
5,1000,15.0,11.203879122305162,1
18,1000,20.0,14.938505496406883,1
1,1002,90.0,11.60113855814275,6
2,1002,90.0,11.60113855814275,6
10,1003,600.0,36.61845766882089,15
26,1003,150.0,9.154614417205222,15
8,1006,50.0,50.5,2
9,1008,300.0,372.0,10
36,1008,50.0,62.0,10
7,1009,449.99999999999994,607.5,30
39,1009,239.99999999999997,324.0,30
8,1010,50.0,50.5,2
7,1012,30.0,30.6,3
38,1012,45.0,45.9,3
10,1013,400.0,24.412305112547255,10
26,1013,100.0,6.103076278136814,10
14,1015,120.0,59.262065956882566,3
10,1016,200.0,12.206152556273627,5
26,1016,50.0,3.051538139068407,5
5,1018,59.99999999999999,44.81551648922064,4
18,1018,80.0,59.75402198562753,4
9,1019,240.00000000000003,292.8,8
36,1019,40.0,48.8,8
7,1020,450.0,580.5,15
7,1023,30.0,30.6,3
38,1023,45.0,45.9,3
10,1024,80.0,4.8824610225094505,2
26,1024,20.0,1.2206152556273626,2
9,1031,30.0,30.0,1
36,1031,5.0,5.0,1
10,1033,80.0,4.8824610225094505,2
26,1033,20.0,1.2206152556273626,2
5,1034,30.0,22.407758244610324,2
18,1034,40.0,29.877010992813766,2
24,1035,120.0,7.323691533764177,6
10,1036,80.0,4.8824610225094505,2
26,1036,20.0,1.2206152556273626,2
8,1038,25.0,25.0,1
7,1039,10.0,10.0,1
38,1039,15.0,15.0,1
7,1043,29.99579411764706,30.59571,3
38,1043,44.99369607843137,45.89357,3
7,1046,40.0,41.2,4
38,1046,59.99999999999999,61.8,4
13,1049,90.0,67.22327473383096,2
14,1050,120.0,59.262065956882566,3
7,1051,20.0,20.2,2
38,1051,30.0,30.3,2
33,1052,60.0,16.272835716272127,1
10,1053,120.0,7.323691533764177,3
26,1053,30.0,1.8309228834410443,3
12,1061,270.0,270.0,6
7,1062,30.0,30.6,3
38,1062,45.0,45.9,3
14,1063,80.0,39.50804397125505,2
9,1064,90.0,91.8,3
36,1064,15.0,15.3,3
31,1065,30.0,14.815516489220643,1
8,1137,25.0,25.0,1
7,2117,10.0,10.0,1
37,2117,9.0,9.0,1
42,2117,6.0,6.0,1
9,2118,30.0,30.0,1
36,2118,5.0,5.0,1
40,2119,40.0,40.4,2
7,2123,10.0,10.0,1
37,2123,9.0,9.0,1
42,2123,6.0,6.0,1
43,2124,50.0,50.5,2
9,2125,30.0,30.0,1
36,2125,5.0,5.0,1
7,2130,20.0,20.2,2
37,2130,18.0,18.18,2
42,2130,12.0,12.12,2
7,2131,20.0,20.0,1
37,2131,6.0,6.0,1
42,2131,9.0,9.0,1
40,2132,40.0,40.4,2
12,2133,45.0,45.0,1
1,2135,150.0,19.335230930237913,10
2,2135,150.0,19.335230930237913,10
11,2136,30.0,16.076706848143747,2
38,2136,120.0,64.30682739257499,2
7,2137,40.0,41.2,4
38,2137,59.99999999999999,61.8,4
1,2140,104.99999999999999,13.534661651166541,7
2,2140,104.99999999999999,13.534661651166541,7
14,2141,80.0,39.50804397125505,2
11,2142,45.0,24.115060272215622,3
38,2142,180.0,96.46024108886249,3
7,2143,20.0,20.2,2
38,2143,30.0,30.3,2
10,2145,200.0,12.206152556273627,5
26,2145,50.0,3.051538139068407,5
24,2146,199.99999999999997,12.206152556273626,10
7,2147,50.0,52.0,5
38,2147,75.0,78.0,5
9,2149,30.0,30.0,1
36,2149,5.0,5.0,1
24,2860,120.0,7.323691533764177,6
10,2861,80.0,4.8824610225094505,2
26,2861,20.0,1.2206152556273626,2
7,2892,3.885,3.885,2
9,2892,0.6475,0.6475,2
10,2892,0.6475,0.6475,2
12,2892,0.6475,0.6475,2
13,2892,0.6475,0.6475,2
15,2892,0.6475,0.6475,2
38,2892,0.9065,0.9065,2
7,2901,71.03889,71.03889,39
9,2901,11.83981,11.83981,39
10,2901,11.83981,11.83981,39
12,2901,11.83981,11.83981,39
13,2901,11.83981,11.83981,39
15,2901,11.83981,11.83981,39
38,2901,16.57574,16.57574,39
7,2905,58.01859,58.01859,37
9,2905,9.66976,9.66976,37
10,2905,9.66976,9.66976,37
12,2905,9.66976,9.66976,37
13,2905,9.66976,9.66976,37
15,2905,9.66976,9.66976,37
38,2905,13.53767,13.53767,37
15,2906,125.0,61.73131870508601,5
7,2907,0.6259,0.6259,20
9,2907,0.93885,0.93885,20
10,2907,0.31295,0.31295,20
12,2907,0.6259,0.6259,20
13,2907,0.6259,0.6259,20
15,2907,0.6259,0.6259,20
36,2907,2.07798,2.07798,20
38,2907,0.87626,0.87626,20
7,3633,41.20416,41.20416,18
9,3633,6.86736,6.86736,18
10,3633,6.86736,6.86736,18
12,3633,6.86736,6.86736,18
13,3633,6.86736,6.86736,18
15,3633,6.86736,6.86736,18
38,3633,9.6143,9.6143,18
7,3634,50.17716,50.17716,22
9,3634,8.36286,8.36286,22
10,3634,8.36286,8.36286,22
12,3634,8.36286,8.36286,22
13,3634,8.36286,8.36286,22
15,3634,8.36286,8.36286,22
38,3634,11.708,11.708,22
7,3635,105.594,105.594,50
9,3635,17.599,17.599,50
10,3635,17.599,17.599,50
12,3635,17.599,17.599,50
13,3635,17.599,17.599,50
15,3635,17.599,17.599,50
38,3635,24.6386,24.6386,50
7,3651,5.9844,5.9844,2
9,3651,0.9974,0.9974,2
10,3651,0.9974,0.9974,2
12,3651,0.9974,0.9974,2
13,3651,0.9974,0.9974,2
15,3651,0.9974,0.9974,2
38,3651,1.39636,1.39636,2
7,3764,86.78511,86.78511,29
9,3764,14.46418,14.46418,29
10,3764,14.46418,14.46418,29
12,3764,14.46418,14.46418,29
13,3764,14.46418,14.46418,29
15,3764,14.46418,14.46418,29
38,3764,20.24985,20.24985,29
7,3765,141.0,141.0,47
9,3765,23.5,23.5,47
10,3765,23.5,23.5,47
12,3765,23.5,23.5,47
13,3765,23.5,23.5,47
15,3765,23.5,23.5,47
38,3765,32.9,32.9,47
7,3766,166.98024,166.98024,56
9,3766,27.83004,27.83004,56
10,3766,27.83004,27.83004,56
12,3766,27.83004,27.83004,56
13,3766,27.83004,27.83004,56
15,3766,27.83004,27.83004,56
38,3766,38.96205,38.96205,56
7,3767,0.2904,0.23232,20
9,3767,0.4356,0.34848,20
10,3767,0.1452,0.11616,20
12,3767,0.2904,0.23232,20
13,3767,0.2904,0.23232,20
15,3767,0.2904,0.23232,20
36,3767,0.9641249999999999,0.7713,20
38,3767,0.40654999999999997,0.32524,20
7,3768,1.0824,0.86592,20
9,3768,1.6236,1.29888,20
10,3768,0.5412,0.43296,20
12,3768,1.0824,0.86592,20
13,3768,1.0824,0.86592,20
15,3768,1.0824,0.86592,20
36,3768,3.5935624999999995,2.87485,20
38,3768,1.51535,1.21228,20
7,3769,18.4404,18.4404,10
9,3769,3.0734,3.0734,10
10,3769,3.0734,3.0734,10
12,3769,3.0734,3.0734,10
13,3769,3.0734,3.0734,10
15,3769,3.0734,3.0734,10
38,3769,4.30276,4.30276,10
7,3770,14.41845,14.41845,15
9,3770,2.40307,2.40307,15
10,3770,2.40307,2.40307,15
12,3770,2.40307,2.40307,15
13,3770,2.40307,2.40307,15
15,3770,2.40307,2.40307,15
38,3770,3.3643,3.3643,15
7,3771,345.0,345.0,115
9,3771,57.5,57.5,115
10,3771,57.5,57.5,115
12,3771,57.5,57.5,115
13,3771,57.5,57.5,115
15,3771,57.5,57.5,115
38,3771,80.5,80.5,115
15,3772,25.0,12.346263741017202,1
7,3778,1.4945,1.4945,7
9,3778,2.24175,2.24175,7
10,3778,0.74725,0.74725,7
12,3778,1.4945,1.4945,7
13,3778,1.4945,1.4945,7
15,3778,1.4945,1.4945,7
36,3778,4.96174,4.96174,7
38,3778,2.0923,2.0923,7
7,3784,0.17329,0.17329,3
9,3784,0.25994,0.25994,3
10,3784,0.08664,0.08664,3
12,3784,0.17329,0.17329,3
13,3784,0.17329,0.17329,3
15,3784,0.17329,0.17329,3
36,3784,0.57533,0.57533,3
38,3784,0.24261,0.24261,3
7,3786,0.792,0.792,6
9,3786,1.188,1.188,6
10,3786,0.396,0.396,6
12,3786,0.792,0.792,6
13,3786,0.792,0.792,6
15,3786,0.792,0.792,6
36,3786,2.62944,2.62944,6
38,3786,1.1088,1.1088,6
7,3789,0.269,0.269,20
9,3789,0.4035,0.4035,20
10,3789,0.1345,0.1345,20
12,3789,0.269,0.269,20
13,3789,0.269,0.269,20
15,3789,0.269,0.269,20
36,3789,0.89308,0.89308,20
38,3789,0.3766,0.3766,20
7,3790,1.106,1.106,50
9,3790,1.659,1.659,50
10,3790,0.553,0.553,50
12,3790,1.106,1.106,50
13,3790,1.106,1.106,50
15,3790,1.106,1.106,50
36,3790,3.67192,3.67192,50
38,3790,1.5484,1.5484,50
7,3791,2.00295,1.60236,30
9,3791,3.004425,2.40354,30
10,3791,1.001475,0.80118,30
12,3791,2.00295,1.60236,30
13,3791,2.00295,1.60236,30
15,3791,2.00295,1.60236,30
36,3791,6.6497874999999995,5.31983,30
38,3791,2.804125,2.2433,30
7,3792,48.0744,48.0744,60
9,3792,8.0124,8.0124,60
10,3792,8.0124,8.0124,60
12,3792,8.0124,8.0124,60
13,3792,8.0124,8.0124,60
15,3792,8.0124,8.0124,60
38,3792,11.21736,11.21736,60
