id,name,level
1430,building_government_administrationlevel,6
1431,building_maize_farmlevel,1
1432,building_white_houselevel,1
1433,building_capitol_hilllevel,1
1434,building_portlevel,2
1435,building_sugar_plantationlevel,3
1436,building_cotton_plantationlevel,2
1437,building_government_administrationlevel,10
1438,building_construction_sectorlevel,3
1439,building_arms_industrylevel,3
1440,building_munition_plantslevel,1
1441,building_universitylevel,3
1442,building_iron_minelevel,3
1443,building_paper_millslevel,2
1444,building_textile_millslevel,5
1445,building_furniture_manufacturieslevel,2
1446,building_tooling_workshopslevel,5
1447,building_logging_camplevel,2
1448,building_wheat_farmlevel,4
1449,building_fishing_wharflevel,2
1450,building_naval_baselevel,10
1451,building_barrackslevel,1
1452,building_portlevel,3
1453,building_central_parklevel,1
1454,building_government_administrationlevel,2
1455,building_construction_sectorlevel,1
1456,building_arms_industrylevel,3
1457,building_iron_minelevel,2
1458,building_maize_farmlevel,5
1459,building_livestock_ranchlevel,2
1460,building_tobacco_plantationlevel,4
1461,building_cotton_plantationlevel,7
1462,building_barrackslevel,1
1463,building_shipyardslevel,2
1464,building_naval_baselevel,15
1465,building_portlevel,3
1469,building_cotton_plantationlevel,1
1470,building_livestock_ranchlevel,1
1471,building_government_administrationlevel,1
1472,building_lead_minelevel,1
1473,building_maize_farmlevel,2
1474,building_livestock_ranchlevel,1
1475,building_government_administrationlevel,2
1476,building_chemical_plantslevel,2
1477,building_logging_camplevel,2
1478,building_maize_farmlevel,8
1479,building_logging_camplevel,1
1480,building_sulfur_minelevel,2
1481,building_livestock_ranchlevel,1
1482,building_government_administrationlevel,1
1483,building_construction_sectorlevel,1
1484,building_glassworkslevel,3
1485,building_furniture_manufacturieslevel,2
1486,building_chemical_plantslevel,1
1487,building_coal_minelevel,2
1488,building_maize_farmlevel,6
1489,building_livestock_ranchlevel,2
1490,building_barrackslevel,1
1491,building_government_administrationlevel,1
1492,building_universitylevel,1
1493,building_food_industrylevel,4
1494,building_coal_minelevel,2
1495,building_tobacco_plantationlevel,8
1496,building_maize_farmlevel,5
1497,building_livestock_ranchlevel,1
1498,building_barrackslevel,1
1499,building_government_administrationlevel,1
1500,building_food_industrylevel,3
1501,building_maize_farmlevel,10
1502,building_livestock_ranchlevel,2
1503,building_tobacco_plantationlevel,10
1504,building_cotton_plantationlevel,3
1505,building_barrackslevel,1
1506,building_government_administrationlevel,1
1507,building_cotton_plantationlevel,4
1508,building_maize_farmlevel,4
1509,building_tobacco_plantationlevel,2
1510,building_government_administrationlevel,1
1511,building_maize_farmlevel,6
1512,building_sugar_plantationlevel,2
1513,building_cotton_plantationlevel,10
1514,building_tobacco_plantationlevel,3
1515,building_barrackslevel,1
1516,building_portlevel,1
1517,building_government_administrationlevel,2
1518,building_maize_farmlevel,5
1519,building_livestock_ranchlevel,1
1520,building_sugar_plantationlevel,4
1521,building_cotton_plantationlevel,8
1522,building_tobacco_plantationlevel,3
1523,building_barrackslevel,1
1524,building_portlevel,1
1525,building_coal_minelevel,1
1526,building_logging_camplevel,1
1527,building_government_administrationlevel,1
1528,building_glassworkslevel,1
1529,building_fishing_wharflevel,3
1530,building_tobacco_plantationlevel,4
1531,building_naval_baselevel,5
1532,building_portlevel,2
1533,building_government_administrationlevel,1
1534,building_fishing_wharflevel,1
1535,building_livestock_ranchlevel,1
1536,building_government_administrationlevel,3
1537,building_steel_millslevel,3
1538,building_textile_millslevel,2
1539,building_furniture_manufacturieslevel,4
1540,building_glassworkslevel,2
1541,building_coal_minelevel,4
1542,building_maize_farmlevel,4
1543,building_livestock_ranchlevel,3
1544,building_logging_camplevel,5
1545,building_barrackslevel,1
1546,building_paper_millslevel,3
1547,building_government_administrationlevel,1
1548,building_fishing_wharflevel,1
1549,building_maize_farmlevel,1
1550,building_logging_camplevel,2
1551,building_lead_minelevel,3
1552,building_maize_farmlevel,2
1553,building_government_administrationlevel,1
1554,building_glassworkslevel,1
1555,building_fishing_wharflevel,1
1556,building_government_administrationlevel,1
1557,building_iron_minelevel,1
1558,building_portlevel,1
1559,building_government_administrationlevel,1
1560,building_construction_sectorlevel,1
1561,building_universitylevel,2
1562,building_textile_millslevel,3
1563,building_glassworkslevel,3
1564,building_shipyardslevel,3
1565,building_fishing_wharflevel,3
1566,building_whaling_stationlevel,1
1567,building_wheat_farmlevel,2
1568,building_barrackslevel,1
1569,building_naval_baselevel,10
1570,building_portlevel,3
1571,building_logging_camplevel,1
1572,building_government_administrationlevel,1
1573,building_logging_camplevel,1
1574,building_livestock_ranchlevel,1
1575,building_food_industrylevel,2
1576,building_logging_camplevel,1
1577,building_livestock_ranchlevel,2
1578,building_government_administrationlevel,1
