name,code,base_price,current_price,pop_demand
ammunition,0,50,72.25763085731928,0
small_arms,1,60,62.339343382016466,0
artillery,2,70,103.8359627296322,0
tanks,3,80,80,0
aeroplanes,4,80,80,0
manowars,5,70,93.4010746768377,0
ironclads,6,80,80,0
grain,7,20,26.997166719571357,3363.1898951853245
fish,8,20,26.255641768847365,807.7959505390465
fabric,9,20,11.238007473897042,678.6506425253444
wood,10,20,32.263512218517455,229.11245691655648
groceries,11,30,40.15621139332614,436.1388591307838
clothes,12,30,40.89592155504187,915.7059024895574
furniture,13,30,42.20787136245327,741.531855376858
paper,14,30,50.72602743153164,37.845948757830506
services,15,30,30.373596398352184,495.15475333333353
transportation,16,30,30,0
electricity,17,30,30,0
clippers,18,60,78.7046256215942,0
steamers,19,70,70,0
silk,20,40,40,0
dye,21,40,70.0,0
sulfur,22,50,85.57802795760928,0
coal,23,30,50.8292883906867,53.191129248597534
iron,24,40,68.41456402652994,0
lead,25,40,66.41822936680002,0
hardwood,26,40,66.37135590568504,0
rubber,27,40,40,0
oil,28,40,26.970863607757465,6.611188342601075
engines,29,60,60,0
steel,30,50,83.0315801686895,0
glass,31,40,65.80131265788823,169.0505612510775
fertilizer,32,30,47.116827889807624,0
tools,33,40,66.79227871426006,0
explosives,34,50,85.2705711329531,0
porcelain,35,70,119.74407405227896,143.7430331914099
meat,36,30,42.05426972804159,296.73478658621315
fruit,37,30,26.160569743409667,154.18935576663924
liquor,38,30,31.516701718529724,698.4282942699613
wine,39,50,83.50849896268035,273.6939168902939
tea,40,50,50,0
coffee,41,50,87.5,69.67334810970584
sugar,42,30,33.74078779471833,70.37133950257858
tobacco,43,40,33.93761315136362,815.3917042975294
opium,44,50,50,0
automobiles,45,100,100,0
telephones,46,70,70,0
radios,47,80,80,0
luxury_clothes,48,60,105.0,209.43217337084278
luxury_furniture,49,60,96.44386392651614,259.6078879058453
gold,50,100,100,0
fine_art,51,200,200,0
