,Country,Goods_to_Minimize,Answer_id
0,USA1836,manowars,1564
1,USA1836,groceries,1493
2,USA1836,clothes,1444
3,USA1836,clippers,1581
4,USA1836,oil,1566
5,USA1836,steel,1537
6,USA1836,tools,1446
7,USA1836,liquor,1493
8,AUS1836,manowars,893
9,AUS1836,groceries,402
10,AUS1836,furniture,1122
11,AUS1836,clippers,893
12,AUS1836,tools,892
13,AUS1836,porcelain,710
14,AUS1836,liquor,402
15,AUS1836,luxury_clothes,711
16,AUS1836,fine_art,390
17,GBR1836,ammunition,104
18,GBR1836,groceries,155
19,GBR1836,sulfur,173
20,GBR1836,lead,200
21,GBR1836,hardwood,136
22,GBR1836,oil,137
23,GBR1836,steel,125
24,GBR1836,fertilizer,143
25,GBR1836,tools,122
26,GBR1836,explosives,143
27,GBR1836,liquor,155
28,GBR1836,wine,171
29,GBR1836,fine_art,86
30,FRA1836,groceries,307
31,FRA1836,sulfur,319
32,FRA1836,steel,268
33,FRA1836,porcelain,330
34,FRA1836,liquor,307
35,FRA1836,fine_art,212
36,PRU1836,groceries,1074
37,RUS1836,groceries,979
38,RUS1836,furniture,1049
39,RUS1836,glass,1065
40,RUS1836,tools,964
41,RUS1836,porcelain,957
42,RUS1836,liquor,979
43,RUS1836,luxury_furniture,967
44,RUS1836,fine_art,958
45,CHI1836,manowars,2465
46,CHI1836,clothes,2479
47,CHI1836,clippers,2465
48,CHI1836,luxury_clothes,2479
49,JAP1836,clothes,2643
50,JAP1836,furniture,2634
51,JAP1836,clippers,2653
52,JAP1836,oil,2625
53,JAP1836,glass,2623
54,JAP1836,porcelain,2623
55,JAP1836,meat,2625
56,JAP1836,luxury_clothes,2643
57,JAP1836,luxury_furniture,2634
58,USA1849,manowars,1516
59,USA1849,groceries,1447
60,USA1849,clothes,1400
61,USA1849,furniture,1401
62,USA1849,clippers,1532
63,USA1849,sulfur,1434
64,USA1849,oil,1518
65,USA1849,steel,1490
66,USA1849,explosives,1440
67,USA1849,liquor,1454
68,USA1849,luxury_furniture,1439
69,AUS1849,manowars,877
70,AUS1849,clippers,877
71,AUS1849,meat,858
72,GBR1849,ammunition,16778022
73,GBR1849,manowars,50336891
74,GBR1849,wood,117
75,GBR1849,groceries,153
76,GBR1849,sulfur,171
77,GBR1849,lead,197
78,GBR1849,hardwood,134
79,GBR1849,oil,135
80,GBR1849,steel,50337841
81,GBR1849,fertilizer,141
82,GBR1849,explosives,50337196
83,GBR1849,liquor,153
84,GBR1849,wine,169
85,GBR1849,luxury_furniture,16783397
86,FRA1849,groceries,5974
87,FRA1849,liquor,33560712
88,FRA1849,fine_art,209
89,RUS1849,groceries,961
90,RUS1849,furniture,949
91,RUS1849,glass,4782
92,RUS1849,tools,946
93,RUS1849,porcelain,939
94,RUS1849,fruit,2064
95,RUS1849,liquor,966
96,RUS1849,luxury_clothes,2073
97,RUS1849,luxury_furniture,949
98,RUS1849,fine_art,940
99,CHI1849,manowars,2399
100,CHI1849,clothes,2413
