,Country,Goods_to_Minimize,Answer_id
0,USA,ammunition,1446
1,USA,small_arms,1446
2,USA,artillery,1446
3,USA,manowars,1463
4,USA,grain,1446
5,USA,fish,1581
6,USA,wood,1446
7,USA,groceries,1575
8,USA,clothes,1444
9,USA,furniture,1446
10,USA,paper,1446
11,USA,services,1446
12,USA,clippers,1581
13,USA,sulfur,1446
14,USA,coal,1446
15,USA,iron,1446
16,USA,lead,1446
17,USA,hardwood,1446
18,USA,oil,1566
19,USA,steel,1537
20,USA,glass,1446
21,USA,fertilizer,1446
22,USA,tools,1446
23,USA,explosives,1446
24,USA,porcelain,1446
25,USA,meat,1446
26,USA,fruit,1446
27,USA,liquor,1500
28,USA,wine,1446
29,USA,luxury_furniture,1446
30,AUS,manowars,893
31,AUS,groceries,410
32,AUS,furniture,1122
33,AUS,clippers,893
34,AUS,coal,892
35,AUS,iron,892
36,AUS,lead,892
37,AUS,tools,892
38,AUS,porcelain,710
39,AUS,liquor,410
40,AUS,luxury_clothes,711
41,AUS,fine_art,390
42,GBR,ammunition,104
43,GBR,small_arms,122
44,GBR,artillery,122
45,GBR,manowars,125
46,GBR,grain,122
47,GBR,fish,125
48,GBR,fabric,122
49,GBR,wood,122
50,GBR,groceries,155
51,GBR,clothes,122
52,GBR,furniture,122
53,GBR,paper,173
54,GBR,services,122
55,GBR,transportation,125
56,GBR,clippers,125
57,GBR,sulfur,173
58,GBR,coal,122
59,GBR,iron,122
60,GBR,lead,200
61,GBR,hardwood,136
62,GBR,oil,137
63,GBR,engines,125
64,GBR,steel,125
65,GBR,glass,200
66,GBR,fertilizer,143
67,GBR,tools,122
68,GBR,explosives,143
69,GBR,meat,122
70,GBR,liquor,155
71,GBR,wine,171
72,GBR,luxury_clothes,122
73,GBR,luxury_furniture,122
74,GBR,fine_art,86
75,FRA,ammunition,268
76,FRA,small_arms,268
77,FRA,artillery,268
78,FRA,wood,268
79,FRA,groceries,307
80,FRA,furniture,268
81,FRA,paper,268
82,FRA,services,268
83,FRA,transportation,268
84,FRA,sulfur,319
85,FRA,coal,268
86,FRA,iron,268
87,FRA,lead,268
88,FRA,hardwood,268
89,FRA,steel,268
90,FRA,glass,268
91,FRA,fertilizer,267
92,FRA,tools,268
93,FRA,porcelain,330
94,FRA,meat,268
95,FRA,liquor,307
96,FRA,luxury_furniture,268
97,FRA,fine_art,212
98,PRU,groceries,1074
99,RUS,small_arms,964
100,RUS,artillery,964
101,RUS,wood,964
102,RUS,groceries,979
103,RUS,furniture,1049
104,RUS,services,964
105,RUS,iron,964
106,RUS,hardwood,964
107,RUS,glass,1065
108,RUS,tools,964
109,RUS,porcelain,957
110,RUS,liquor,979
111,RUS,luxury_furniture,967
112,RUS,fine_art,978
113,CHI,manowars,2465
114,CHI,clothes,2479
115,CHI,clippers,2465
116,CHI,luxury_clothes,2479
117,JAP,clothes,2643
118,JAP,furniture,2634
119,JAP,clippers,2653
120,JAP,oil,2625
121,JAP,glass,2623
122,JAP,porcelain,2623
123,JAP,meat,2625
124,JAP,luxury_clothes,2643
125,JAP,luxury_furniture,2634
