+---------------------+---------+-------------+----------+----------------------+------------+-------------+----------------+----------------------------------+---------+---------+---------+-----------------+-----------------------------------+------------+--------------+---------------+-----------------------+-------+--------+-------+----------------------+-----------------------------------+
| name                | current | local_value | outgoing | value_added_outgoing | retention_ | steer_power | num_collectors | num_collectors_including_pirates | total   | p_pow   | max     | collector_power | collector_power_including_pirates | pull_power | retain_power | highest_power | total_privateer_power | add_  | value_ | from_ | trade_company_region | most_recent_treasure_ship_passage |
+---------------------+---------+-------------+----------+----------------------+------------+-------------+----------------+----------------------------------+---------+---------+---------+-----------------+-----------------------------------+------------+--------------+---------------+-----------------------+-------+--------+-------+----------------------+-----------------------------------+
| african_great_lakes |   1.217 |       1.637 |     0.42 |                 0.42 |      0.743 |           1 |              8 |                                9 | 173.761 |  36.913 | 163.576 |         128.943 |                           128.943 |     44.818 |      128.943 |         14.88 |                  NULL |  NULL |   NULL |  NULL | yes                  | 1.1.1                             |
| aleppo              |   2.473 |       4.268 |    2.603 |                2.603 |      0.487 |       0.858 |              8 |                                9 | 262.326 | 114.836 | 196.836 |           125.1 |                             125.1 |    132.248 |        125.1 |        19.352 |                  NULL | 0.067 |  0.808 |    45 | yes                  | 1.1.1                             |
| alexandria          |   5.339 |       6.764 |    4.314 |                4.314 |      0.553 |       0.394 |              6 |                                7 | 347.218 | 136.272 | 214.272 |         191.932 |                           191.932 |    155.286 |      191.932 |         17.76 |                  NULL | 0.245 |  2.478 |    46 | yes                  | 1.1.1                             |
| amazonas_node       |   0.297 |       0.297 |     NULL |                 NULL |          1 |           0 |              2 |                                3 |  17.894 |    3.77 |   17.77 |          17.894 |                            17.894 |       NULL |       17.894 |          2.03 |                  NULL |  NULL |   NULL |  NULL | NULL                 | 1.1.1                             |
| astrakhan           |   3.646 |       2.908 |    2.923 |                2.923 |      0.555 |           1 |              5 |                                6 | 348.399 |  68.984 | 288.979 |         193.305 |                           193.305 |    155.094 |      193.305 |        15.145 |                  NULL | 0.249 |  2.458 |    45 | yes                  | 1.1.1                             |
| australia           |   2.045 |       2.045 |     NULL |                 NULL |          1 |           0 |             13 |                               14 | 166.788 |    72.8 |   163.8 |         166.788 |                           166.788 |       NULL |      166.788 |         11.31 |                  NULL |     0 |      0 |    21 | NULL                 | 1.1.1                             |
| baltic_sea          |   6.544 |       5.665 |    1.417 |                1.417 |      0.822 |           1 |              5 |                                6 | 308.065 | 174.994 | 231.994 |         248.107 |                           248.107 |     53.856 |      248.107 |        33.315 |                  NULL |     0 |      0 |    62 | yes                  | 1.1.1                             |
| basra               |   1.787 |       3.202 |    2.758 |                2.758 |      0.393 |           1 |              8 |                                9 | 335.697 |  94.239 |  261.57 |         131.679 |                           131.679 |    204.018 |      131.679 |        24.699 |                  NULL | 0.142 |  1.343 |    40 | yes                  | 1.1.1                             |
| beijing             |  15.319 |       4.373 |    1.854 |                1.854 |      0.892 |           1 |              2 |                                3 | 163.272 |  97.128 | 116.128 |         145.583 |                           145.583 |     17.689 |      145.583 |         25.11 |                  NULL | 0.223 |  3.131 |    25 | yes                  | 1.1.1                             |
