,Country,Answer
0,SWE,krakow
1,DAN,rheinland
2,TUR,alexandria
3,ENG,champagne
4,SCO,st_lawrence
5,PLC,pest
6,FRA,rheinland
7,BAV,krakow
8,BOH,krakow
9,BRA,wien
10,HAB,krakow
11,KOL,wien
12,PAL,wien
13,SWI,rheinland
14,POR,carribean_trade
15,SPA,carribean_trade
16,PAP,alexandria
17,SAV,alexandria
18,TUS,alexandria
19,VEN,alexandria
20,NED,champagne
21,CRI,astrakhan
22,RUS,kazan
23,ALG,timbuktu
24,MOR,timbuktu
25,TUN,katsina
26,KZH,lahore
27,BUK,lahore
28,PER,samarkand
29,ETH,katsina
30,KBO,african_great_lakes
31,ANN,gulf_of_siam
32,ATJ,hangzhou
33,AYU,burma
34,BAN,philippines
35,BEI,hangzhou
36,TKG,girin
37,KHA,xian
38,KHM,burma
39,KOR,girin
40,LNA,burma
41,LXA,burma
42,MCH,african_great_lakes
43,MNG,xian
44,MTR,philippines
45,TAU,chengdu
46,TOK,gulf_of_siam
47,KAS,lahore
48,BIJ,doab
49,GOC,doab
50,MUG,ganges_delta
51,VIJ,deccan
52,FUL,african_great_lakes
53,C00,cuiaba
54,C02,rio_grande
55,C03,ivory_coast
56,C04,cuiaba
57,C05,cuiaba
58,C06,amazonas_node
